company,funds_raised_millions,percentage_laid_off
"Included Health",272,0.06
&Open,35,0.09
#Paid,21,0.17
"10X Genomics",242,0.08
1stdibs,253,0.17
2TM,250,0.12
2TM,250,0.15
2U,426,0.2
54gene,44,0.3
"5B Solar",12,0.25
6sense,426,0.1
"80 Acres Farms",275,0.1
8x8,253,0.07
8x8,253,0.09
98point6,247,0.1
99,244,0.02
Abra,106,0.05
Acast,126,0.15
Acko,143,0.09
ActiveCampaign,360,0.15
Ada,190,0.16
"Ada Support",60,0.23
"Adaptive Biotechnologies",406,0.12
Addepar,491,0.03
AdRoll,89,0.3
Affirm,1500,0.01
Affirm,1500,0.19
Ahead,9,1
Air,18,0.16
Airbnb,5400,0.25
Airlift,109,0.31
Airlift,109,1
Airtable,1400,0.2
Airtime,33,0.2
Aiven,420,0.2
Ajaib,245,0.08
AlayaCare,293,0.14
Albert,175,0.08
Alice,174,0.16
"AliExpress Russia",60,0.4
"Alto Pharmacy",356,0.06
Amazon,108,0.02
Amazon,108,0.03
"Amber Group",328,0.1
"American Robotics",92,0.65
Amount,283,0.18
Amount,283,0.25
Amperity,187,0.03
Amplero,25,1
Andela,181,0.1
Anodot,64,0.27
"Antidote Health",36,0.38
"Apartment List",169,0.1
Apollo,183,0.15
"Apollo Insurance",11,0.25
"App Annie",156,0.18
AppLovin,1600,0.12
ApplyBoard,483,0.06
Aqgromalin,12,0.3
"Aqua Security",265,0.1
"Aqua Security",100,0.09
"Arch Oncology",155,1
"Argo AI",3600,0.05
Argyle,78,0.07
Armis,537,0.04
Arrival,629,0.3
Arrival,629,0.5
"Arrive Logistics",35,0.07
Asana,453,0.09
Assure,2,1
Astra,300,0.16
Astra,100,0.25
Astronomer,282,0.2
Atlassian,210,0.05
AtoB,177,0.3
Atsu,1,1
Attentive,863,0.15
AU10TIX,80,0.09
Augury,274,0.05
Aura,500,0.09
"Aura Financial",584,1
Automatic,24,1
"Automation Anywhere",840,0.1
Automox,152,0.11
AvantStay,686,0.22
Avo,45,0.67
Away,181,0.1
Awok,30,1
Aya,3,0.25
B8ta,88,0.5
"Back Market",1000,0.13
Bakkt,932,0.15
"Bally's Interactive",946,0.15
Banxa,13,0.3
Baraja,63,0.75
Baton,13,0.25
"Beam Benefits",168,0.08
Beamery,223,0.12
Bench,49,0.1
Benevity,69,0.14
"Benitago Group",380,0.14
"Berkeley Lights",272,0.12
"Berlin Brands Group",1000,0.1
Bestow,137,0.14
Better.com,905,0.09
Better.com,905,0.33
Betterfly,204,0.3
Bevi,60,0.2
"Beyond Meat",122,0.19
BeyondMinds,16,1
BharatAgri,21,0.43
BigBear.ai,200,0.07
BigCommerce,224,0.13
Bilibili,3700,0.3
BioMarin,585,0.04
Bird,783,0.23
Bird,623,0.3
BitGo,69,0.12
BitMEX,0,0.3
BitMEX,0,0.25
BitOasis,30,0.05
Bitpanda,546,0.27
Bitrise,83,0.14
Bitso,378,0.11
BitTitan,46,0.27
Bizpay,45,0.3
Bizzabo,194,0.37
Bizzabo,194,0.3
BlackLine,220,0.05
Blend,665,0.06
Blend,665,0.1
Blend,665,0.12
Blend,665,0.28
Blockchain.com,490,0.28
Blockchain.com,490,0.25
BlockFi,1000,1
BlockFi,1000,0.2
"Blue Apron",352,0.1
Blueground,77,0.25
Bluprint,108,1
Bolt,1300,0.1
Bolt,1300,0.27
Bonsai,27,0.34
Bonsai,27,0.55
BookClub,26,0.25
BookMyShow,224,0.18
"Boosted Commerce",137,0.05
Boozt,56,0.05
Borrowell,72,0.2
"Bossa Nova",102,0.5
Bounce,214,0.05
Bounce,214,0.22
Bounce,214,0.4
BounceX,75,0.2
Branch,2,0.27
"Branch Metrics",367,0.2
"Brave Care",42,0.33
Breathe,6,0.33
Breather,131,0.8
Brex,732,0.15
Brex,1500,0.11
"Bridge Connector",45,1
Bridgit,36,0.13
"Bright Machines",250,0.08
"Bright Money",31,0.5
Brighte,145,0.15
Brightline,212,0.2
Bringg,84,0.1
Britishvolt,2400,1
Briza,10,0.4
Brodmann17,25,1
Bryter,89,0.3
Buenbit,11,0.45
Builder,29,0.14
"Built In",29,0.25
Bullish,300,0.08
BusBud,21,0.32
Buser,138,0.3
"Bustle Digital Group",80,0.08
"Bustle Digital Group",80,0.08
"Butler Hospitality",50,1
"Butterfly Network",530,0.25
"Butterfly Network",530,0.1
Button,64,0.35
"Buy.com / Rakuten",42,1
Buzzer,32,0.2
BuzzFeed,696,0.12
Byju's,5500,0.05
ByteDance,9400,0.1
C2FO,537,0.02
Cabin,3,0.2
Cadre,133,0.25
Calibrate,127,0.24
Calm,218,0.2
Cameo,165,0.25
"Camp K12",16,0.7
"Candy Digital",100,0.33
Canoo,300,0.06
Capitolis,281,0.25
Capitolis,281,0.25
Capsule,570,0.13
CaptivateIQ,164,0.1
"Carbon Health",522,0.08
Careem,771,0.31
"Career Karma",51,0.33
CarGurus,1,0.13
Carousell,372,0.1
Cars24,1300,0.06
Carsome,607,0.1
Carta,447,0.16
Carta,1100,0.1
Carvana,1600,0.12
Carvana,1600,0.08
Carwow,157,0.2
Casavo,708,0.3
Casper,339,0.21
"Castlight Health",184,0.13
Cazoo,2000,0.15
Cedar,351,0.24
Celsius,864,0.25
Cerebral,462,0.15
Cerebral,462,0.2
Chainalysis,536,0.05
"Change Invest",22,0.24
Change.org,72,0.19
Chargebee,468,0.1
Checkmarx,92,0.1
Checkout.com,1800,0.05
Checkr,309,0.12
Chime,2300,0.12
"Chipper Cash",302,0.125
"Chipper Cash",302,0.33
Chope,50,0.24
ChowNow,64,0.1
ChowNow,64,0.2
Chrono24,205,0.13
CircleCI,315,0.17
"Circulo Health",50,0.5
Cisco,2,0.05
"Citrine Informatics",64,0.27
Citrix,20,0.15
CityMall,112,0.3
"Clarify Health",328,0.05
ClassPass,549,0.22
Clear,140,0.2
Clearbanc,119,0.08
Clearco,681,0.25
ClearCo,698,0.3
CleverTap,76,0.2
ClickUp,537,0.07
Clinc,59,0.32
CloudFactory,78,0.12
Cloudinary,100,0.08
Clue,47,0.31
Clutch,153,0.22
Clutter,296,0.3
CNET,20,0.1
CoachHub,332,0.1
Code42,138,0.05
Code42,137,0.15
Codexis,162,0.18
"Coding Dojo",2,0.07
Cogito,92,0.14
Coinbase,549,0.2
Coinbase,549,0.18
CoinJar,1,0.2
Coinsquare,98,0.24
CommonBond,125,1
Community,40,0.3
Compass,1600,0.15
Compass,1600,0.1
Compete,17,0.28
Confluent,455,0.08
Conga,117,0.11
ConsenSys,10,0.14
ConsenSys,726,0.11
Consider.co,5,1
ContaAzul,37,0.35
ContraFect,380,0.37
Convene,280,0.18
Convoy,665,0.01
Convoy,1100,0.07
"Core Scientific",169,0.1
"Corvus Insurance",160,0.14
"Coterie Insurance",70,0.2
Crayon,16,0.2
"Credit Sesame",120,0.14
Creditas,314,0.06
Crejo.Fun,3,1
CrowdStreet,24,0.22
Cruise,5300,0.08
Crypto.com,156,0.05
Crypto.com,156,0.3
"CS Disco",233,0.09
CTO.ai,7,0.5
"Culture Amp",157,0.08
"Culture Trip",102,0.32
CureFit,404,0.16
Curve,182,0.1
Cvent,146,0.1
Cybereason,750,0.06
Cybereason,750,0.17
CyCognito,153,0.15
"Cyteir Therapeutics",156,0.7
D2iQ,247,0.13
D2L,168,0.05
"Daily Harvest",120,0.15
"Daily Harvest",120,0.2
DailyPay,814,0.15
Dance,63,0.16
"Dapper Labs",607,0.2
"Dapper Labs",607,0.22
Dark,3,1
DataRails,103,0.18
DataRobot,1000,0.26
DataRobot,1000,0.07
Datera,63,0.1
DealShare,390,0.06
"Deep Instinct",259,0.1
Degreed,411,0.15
DeHaat,254,0.05
Deliv,80,1
Deliveroo,1700,0.09
Deliveroo,1500,0.15
"Deliveroo Australia",1700,1
"Delivery Hero",9900,0.04
Demandbase,143,0.03
Deputy,106,0.3
"Descartes Labs",58,0.16
"Desktop Metal",811,0.12
Devo,481,0.15
DialSource,26,0.14
DigitalOcean,491,0.11
Dispatch,18,0.38
"Divergent 3D",88,0.36
"Divvy Homes",180,0.08
"Divvy Homes",180,0.12
Dock,280,0.12
Docly,16,0.8
DocuSign,536,0.09
DocuSign,536,0.1
Doma,679,0.13
Doma,679,0.15
Doma,679,0.4
Domestika,130,0.19
"Domino Data Lab",223,0.25
Domio,116,0.5
Domio,116,0.3
Domo,689,0.1
DoorDash,2500,0.06
Dover,22,0.3
DraftKings,719,0.04
DriveWealth,550,0.2
Dropbox,1700,0.15
"Dude Solutions",100,0.2
Dunzo,382,0.03
Dutchie,603,0.07
"Dynamic Signal",114,0.19
Earnin,190,0.2
"Earth Rides",2,1
EasyPost,12,0.25
Eatsy,1,1
Ebanx,30,0.08
Ebanx,460,0.2
eBay,1200,0.04
Ecobee,149,0.1
"Eden / Managed By Q",40,0.4
Edgio,462,0.1
"Editas Medicine",656,0.2
Edmodo,77,1
eGym,109,0.25
"Eight Sleep",70,0.2
Elastic,162,0.13
Electric,212,0.25
Element,96,0.15
"Element AI",257,0.15
Elementor,65,0.15
Elinvar,30,0.33
Elliptic,40,0.3
"Embark Trucks",317,0.7
Embroker,142,0.12
Emotive,78,0.18
"Engine eCommerce",4,1
Enjoei,14,0.1
Enjoy,310,0.18
Envoy,59,0.3
Equitybee,85,0.25
Equitybee,85,0.2
EquityZen,11,0.27
Ericsson,663,0.08
Ermetic,97,0.17
Esper,10,0.12
Esper,10,0.21
"Ethos Life",106,0.14
"Ethos Life",406,0.12
eToro,322,0.06
Eucalyptus,69,0.2
Eventbrite,557,0.08
Eventbrite,332,0.45
Everlane,176,0.17
Exodus,60,0.22
Exotel,87,0.15
Exterro,100,0.03
ezCater,319,0.44
FabHotels,48,0.2
Fabric,336,0.4
Facily,502,0.3
Faire,1700,0.07
Fandom,145,0.14
FarEye,150,0.3
Fast,124,1
"Fate Therapeutics",1200,0.57
"Faze Medicines",81,1
"Fifth Season",35,1
Finder,30,0.15
"Finite State",49,0.2
"Finleap Connect",22,0.1
Fipola,9,1
Fireblocks,1000,0.05
Firework,269,0.1
Fittr,13,0.11
Fiverr,111,0.08
Flexport,2400,0.2
Flipboard,235,0.21
Flockjay,14,0.5
Flowhub,45,0.15
"Flux Systems",9,1
Flyhomes,310,0.2
Flyhomes,310,0.4
Flytedesk,4,0.2
"Flywheel Sports",120,0.98
Flywire,263,0.12
Food52,176,0.1
Food52,176,0.15
Foodsby,20,0.67
ForeScout,125,0.1
"Foresight Insurance",58,0.4
Forma.ai,58,0.09
Forto,593,0.08
Forward,225,0.05
Forward,100,0.03
FourKites,201,0.08
Foxtrot,166,0.035
Freetrade,133,0.15
"Frequency Therapeutics",76,0.5
Freshbooks,75,0.09
Freshly,107,0.25
Freshworks,484,0.02
Frontdesk,3,0.16
FrontRow,17,0.75
FrontRow,17,0.3
Frubana,202,0.03
FullStory,197,0.12
Fundbox,453,0.15
Fundbox,553,0.42
"Funding Societies",42,0.18
G2,101,0.05
Gather,76,0.33
Gavelytics,5,1
Gem,148,0.33
Gemini,423,0.1
Gemini,423,0.1
Gemini,423,0.07
Getaround,948,0.1
Getaround,403,0.25
Getir,1800,0.14
GetNinjas,16,0.1
GetYourGuide,656,0.17
GitHub,350,0.1
GitLab,413,0.07
Gitpod,41,0.28
Glassdoor,204,0.3
Glints,82,0.18
Glitch,30,0.36
Glossier,266,0.33
Glossier,266,0.08
Glossier,186,0.38
Glovo,1200,0.06
GoBear,97,0.11
GoBolt,178,0.05
GoDaddy,800,0.08
GoHealth,75,0.2
Gojek,4800,0.09
GoMechanic,54,0.7
Gong,583,0.07
GoodGood,6,1
GoodRx,910,0.16
Google,26,0.06
GoPro,288,0.2
Gopuff,3400,0.03
Gopuff,3400,0.1
Gorillas,1300,0.5
GoSpotCheck,47,0.2
"GoTo Group",1300,0.12
Grab,9900,0.05
GrayMeta,7,0.4
"Greenhouse Software",110,0.28
Greenlight,556,0.21
Grin,145,0.13
"Group Nine Media",190,0.07
Groupon,1400,0.15
Groupon,1400,0.44
"Grove Collaborative",474,0.17
Grover,2300,0.1
"Guardant Health",550,0.07
Guidewire,24,0.02
GumGum,58,0.25
Gusto,746,0.05
Gympass,300,0.33
HackerEarth,11,0.08
"Halcyon Health",2,1
"Happy Money",191,0.34
Hash,58,0.5
Haus,7,1
Headspace,215,0.04
HealthMatch,20,0.5
Help.com,6,1
Heroes,265,0.2
Hibob,45,0.3
Highsnobiety,9,0.25
Highspot,644,0.1
Hipcamp,41,0.6
"Hippo Insurance",1300,0.1
Hireology,52,0.17
Hologram,82,0.4
Homebot,4,0.13
HomeLight,743,0.19
Homeward,160,0.2
Homeward,501,0.25
Homie,35,0.13
Homie,35,0.29
HOOQ,95,1
Hootsuite,300,0.05
Hootsuite,300,0.07
Hootsuite,300,0.3
Hopin,1000,0.17
Hopin,1000,0.12
Hopin,1000,0.29
HopSkipDrive,45,0.1
"Horizn Studios",30,0.25
Hotmart,127,0.12
Houzz,613,0.08
Houzz,613,0.1
Hubba,61,1
HubHaus,13,1
Hubilo,153,0.12
Hubilo,153,0.35
HubSpot,100,0.07
Huobi,2,0.2
Huobi,2,0.3
Hydrow,269,0.35
Hyperscience,289,0.25
Ibotta,85,0.15
iFit,200,0.2
Iflix,348,0.12
iFood,2100,0.06
Ignite,9,0.5
Ignition,74,0.1
Ike,52,0.14
Illumina,28,0.05
"Immersive Labs",123,0.1
Immutable,279,0.11
Immutable,279,0.06
Impact.com,361,0.1
Impala,32,0.35
"Impossible Foods",1900,0.06
"Impossible Foods copy",1900,0.2
Improbable,704,0.1
"Incredible Health",15,0.4
InDebted,41,0.17
Industrious,222,0.2
Infarm,604,0.05
Infarm,604,0.5
InfluxData,119,0.27
InfoSum,88,0.12
Innovaccer,379,0.08
Innovaccer,379,0.15
Innovid,295,0.1
Inspirato,179,0.12
Inspirato,79,0.22
Instamojo,8,0.06
Instructure,89,0.12
"Integral Ad Science",116,0.1
"Integral Ad Science",116,0.13
Intercom,240,0.06
Intercom,240,0.05
Intercom,240,0.13
Introhive,125,0.16
Intuit,18,0.07
InVision,356,0.5
Involves,23,0.18
"iPrice Group",26,0.2
"Iris Nova",15,0.5
IRL,197,0.25
iRobot,30,0.07
iRobot,30,0.1
"Iron Ox",103,0.5
IronNet,410,0.17
IronNet,410,0.35
"Jam City",652,0.17
Jama,233,0.05
JD.ID,5100,0.3
Jellyfish,114,0.09
Jellysmack,22,0.08
JetClosing,44,1
JetClosing,24,0.2
Jetty,40,0.4
Jimdo,28,0.16
Jiobit,12,0.21
Jobcase,118,0.2
JOKR,430,0.05
"Jounce Therapeutics",194,0.57
Jumia,1200,0.2
Jumio,205,0.06
Jump,11,1
Jumpcloud,416,0.12
Juni,281,0.33
"Juniper Square",108,0.14
Juul,1500,0.3
Juul,1500,0.3
Kabam,244,0.07
Kaltura,166,0.1
Kaltura,166,0.11
Kandji,188,0.17
Kaodim,17,1
Karbon,91,0.23
Katerra,1200,0.03
Katerra,1300,0.07
Katerra,1600,1
"Kayak / OpenTable",229,0.08
Kazoo,8,0.35
KeepTruckin,227,0.18
Kenoby,23,0.16
Khoros,138,0.1
Kiavi,240,0.07
Kickstarter,10,0.18
Kinde,10,0.28
Kite,21,1
Kitopi,804,0.1
"Kitty Hawk",1,1
Klarna,3700,0.1
Klook,521,0.15
Knock,654,0.46
Knotel,560,0.08
Knotel,560,0.3
"Kodiak Robotics",40,0.2
Koho,278,0.14
Koho,278,0.04
KoinWorks,180,0.08
"Komodo Health",50,0.09
"Komodo Health",514,0.09
Kontist,53,0.25
Kraken,134,0.3
Kry,568,0.1
Kry,568,0.1
Kuda,91,0.05
Kueski,38,0.3
Kune,1,1
Lacework,1900,0.2
"Ladder Life",94,0.25
Lantern,40,1
Lastline,52,0.4
Latch,342,0.06
Latch,342,0.37
Latch,342,0.28
Lattice,328,0.15
Lattice,49,0.1
Lawgeex,41,0.33
"Le Tote",62,0.5
LEAD,166,0.04
LeafLink,379,0.31
Leafly,71,0.21
Leafly,2,0.5
LearnUpon,56,0.09
Legible,3,0.38
Lemon,17,0.38
"Lending Club",392,0.14
"Lending Club",392,0.3
Lendingkart,200,0.5
Lendis,90,0.5
Lendis,90,0.15
Lev,114,0.3
Lever,72,0.4
"Lido Learning",20,1
Life360,158,0.14
Liftoff,6,0.15
"Lighter Capital",15,0.22
"Lighter Capital",15,0.49
Lightico,42,0.25
Lightricks,335,0.12
"Lightspeed Commerce",1200,0.1
Lime,765,0.13
Limeade,33,0.15
LinkedIn,154,0.06
Linkfire,2,0.35
Linktree,165,0.17
Lithic,115,0.18
"Liv Up",118,0.15
LivePerson,42,0.11
LiveRamp,16,0.1
LiveVox,12,0.16
Livspace,157,0.15
Locomation,57,1
Loft,263,0.1
Loft,788,0.12
Loft,788,0.15
Loft,788,0.12
Loftium,17,0.6
Loftsmart,18,0.75
Loggi,507,0.07
Loggi,507,0.15
Lokalise,56,0.23
Loom,203,0.11
Loom,203,0.14
Loop,24,0.2
Loopio,11,0.08
LoopMe,32,0.04
"Lora DiCarlo",9,1
"Lumina Networks",10,1
Lunchbox,72,0.33
Luno,13,0.35
Lusha,245,0.1
Lyft,4900,0.02
Lyft,4900,0.13
Lyft,4900,0.17
Lyst,144,0.25
Made.com,136,0.35
Madefire,16,1
MadeiraMadeira,338,0.03
"Magic Leap",2600,0.5
Magnite,400,0.06
Mainstreet,64,0.3
MakeMyTrip,548,0.1
MakeMyTrip,548,0.1
Malwarebytes,80,0.14
MariaDB,245,0.08
Marketforce,42,0.09
Masse,3,1
MasterClass,461,0.2
Matrixport,100,0.1
Matterport,114,0.34
Maven,77,0.09
MediaMath,607,0.08
Medium,163,0.25
Medly,100,0.16
Medly,100,0.5
Medly,100,1
Meero,293,0.5
Meesho,215,0.28
Mejuri,28,0.15
Mejuri,28,0.1
Memmo,24,0.4
Mercos,2,0.4
MeridianLink,485,0.09
MessageBird,1100,0.31
Messari,61,0.15
Meta,26000,0.13
Metigy,18,1
Metromile,510,0.2
Metromile,293,0.33
MFine,97,0.75
Microsoft,1,0.05
Migo,37,0.25
Milkrun,86,0.2
MindBody,114,0.15
MindBody,114,0.35
Minted,297,0.37
"Minute Media",160,0.1
Miro,476,0.07
"Misfits Market",526,0.33
Mixpanel,77,0.19
"Mobile Premier League",375,0.1
"Modern Treasury",183,0.18
Moglix,472,0.02
Mogo,201,0.3
"Mojo Vision",204,0.75
Moladin,138,0.11
Momentive,1100,0.14
Momentive,1100,0.11
Monzo,324,0.08
Moss,150,0.15
"Motif Investing",126,1
Motive,567,0.06
Movidesk,1,0.25
Mozilla,2,0.25
"Mr. Yum",73,0.17
Mudafy,13,0.7
Mural,192,0.1
Mux,173,0.2
MyGate,79,0.3
"Mythical Games",260,0.1
N26,782,0.01
Namely,217,0.4
Namogoo,69,0.15
Namogoo,69,0.15
NanoString,731,0.1
Nate,47,0.2
Nativo,35,0.4
Navi,582,0.25
nCino,1100,0.07
NCSoft,240,0.2
NCX,78,0.4
Nearmap,15,0.1
Nearmap,15,0.2
Neon,120,0.1
Neon,720,0.09
Nerdy,150,0.17
Netflix,121900,0.01
Netflix,121900,0.03
Netlify,212,0.16
"New Relic",214,0.05
"New Relic",215,0.07
"Next Insurance",881,0.17
Nextiva,200,0.17
NextRoll,108,0.03
NextRoll,108,0.07
Niantic,770,0.08
Nomad,290,0.2
"Nomad Health",218,0.17
Noom,657,0.1
Notarize,213,0.25
"Nova Benefits",41,0.3
NS8,158,0.95
NSO,1,0.14
Numbrs,78,0.5
NuoDB,85,0.29
Nuri,42,1
Nuri,42,0.2
Nuro,2100,0.2
Nutanix,1100,0.04
NYDIG,1400,0.33
Nylas,175,0.25
Nyriad,58,0.33
Ocavu,11,0.48
"Octopus Network",8,0.4
Oda,479,0.06
Oda,477,0.18
Oda,377,0.18
Offerpad,355,0.07
OfferUp,381,0.19
Okta,1200,0.05
Ola,3800,0.35
Olive,856,0.31
"Olive AI",856,0.35
Omie,26,0.31
"On Deck",20,0.25
"On Deck",20,0.33
OneFootball,442,0.115
OneFootball,442,0.32
OneStudyTeam,479,0.25
OneTrust,410,0.1
OneTrust,926,0.25
OneWeb,3000,0.85
OPay,170,0.7
Opencare,24,0.25
Opendoor,1900,0.18
Opendoor,1500,0.35
Openpay,299,1
OpenSea,427,0.2
OpenText,1100,0.08
OpenWeb,223,0.05
OpenX,70,0.15
Oportun,566,0.1
Optimizely,251,0.15
OrCam,86,0.16
Orchard,472,0.1
Oriente,175,0.2
"Oscar Health",1300,0.05
Otonomo,231,0.5
Ouster,282,0.1
Ouster,132,0.1
OutboundEngine,48,0.28
Outbrain,394,0.03
Outreach,489,0.05
Outreach,489,0.07
Outschool,240,0.18
Outschool,240,0.25
Outside,174,0.12
Outside,174,0.15
Overtime,35,0.23
OwnBackup,507,0.17
"Oye Rickshaw",13,0.2
"Ozy Media",70,1
Pacaso,217,0.3
Packable,472,0.2
Paddle,293,0.08
Pagaya,571,0.2
PagerDuty,173,0.07
PaisaBazaar,496,0.5
Palantir,3000,0.02
"Panda Squad",1,0.75
Papa,241,0.15
Parler,36,0.75
Parsable,72,0.25
PartnerStack,36,0.2
PatientPop,75,0.2
Patreon,165,0.13
Patreon,413,0.17
"Pavilion Data",103,0.96
PayFit,495,0.2
PayJoy,71,0.25
PayPal,216,0.07
"Pear Therapeutics",409,0.22
"Pear Therapeutics",409,0.09
Pebblepost,81,0.6
"Pecan AI",116,0.25
Peerfit,47,0.4
Peerspace,34,0.75
PeerStreet,110,0.3
Peloton,1900,0.12
Peloton,1900,0.13
Peloton,1900,0.2
Pendo,469,0.05
People.ai,100,0.18
"Perceptive Automata",20,1
"Perimeter 81",165,0.08
Perion,76,0.05
PerkSpot,50,0.1
Permutive,105,0.12
Personalis,225,0.3
Personetics,178,0.08
Pesto,6,1
PhableCare,40,0.7
PickYourTrail,3,0.35
"Pico Interactive",62,0.2
PicoBrew,15,1
Picsart,195,0.08
Pier,42,0.39
Pipedrive,90,0.15
Pipl,19,0.13
Pitch,137,0.3
Plaid,734,0.2
Planetly,5,1
Plato,3,0.5
Playdots,10,1
Pleo,428,0.15
Plerk,13,0.4
Pliops,205,0.09
Plum,20,0.1
Pluralsight,192,0.2
"Plus One Robotics",43,0.1
"Pocket Aces",19,0.25
Pocketmath,20,1
Podium,419,0.12
PolicyGenius,286,0.25
Pollen,238,1
Pollen,88,0.31
Pollen,238,0.33
Polly,184,0.15
Polygon,451,0.2
"Pomelo Fashion",120,0.08
Popin,13,1
Poshmark,153,0.02
Postmates,763,0.15
Preply,100,0.05
"Prime Trust",176,0.33
Primer,73,0.33
Prisma,56,0.28
Procore,649,0.09
Project44,817,0.05
Propzy,33,0.5
Propzy,33,1
"Protego Trust Bank",70,0.5
"Protocol Labs",10,0.2
Puppet,189,0.15
Puppet,149,0.1
Purse,1,1
Q4,91,0.08
Qualtrics,400,0.05
Quandoo,39,0.2
Quantcast,65,0.05
Quantcast,65,0.06
Quanterix,533,0.25
Quanto,15,0.22
"Quantum SI",425,0.12
Quibi,1800,1
Quidax,3,0.2
QuintoAndar,335,0.08
QuintoAndar,755,0.04
Qumulo,347,0.19
Qwick,4,0.7
"Rad Power Bikes",329,0.1
"Rad Power Bikes",329,0.14
Rasa,40,0.4
Reach,30,0.12
Reali,117,1
RealSelf,42,0.05
RealSelf,42,0.13
"Rebel Foods",548,0.02
Recharge,277,0.17
Redbubble,55,0.14
RedDoorz,134,0.1
"Redesign Health",315,0.2
Redfin,319,0.07
Redfin,319,0.08
Redfin,320,0.13
Redox,50,0.25
"REE Automotive",317,0.11
Reef,1500,0.05
Relativity,125,0.1
